Time : 2021-12-20 11:01:42| Profile_id : 660 | Method : GET | Url : http://127.0.0.1:8000//api/surveys/reports/6b16af4b-dca6-42ce-8535-98146986c645| Platform : Web|[]
Time : 2021-12-20 11:02:06| Profile_id : 660 | Method : GET | Url : http://127.0.0.1:8000//api/surveys/reports/6b16af4b-dca6-42ce-8535-98146986c645| Platform : Web|[]
Time : 2021-12-20 11:03:09| Profile_id : 660 | Method : GET | Url : http://127.0.0.1:8000//api/surveys/reports/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|[]
Time : 2021-12-20 11:04:53| Profile_id : 660 | Method : GET | Url : http://127.0.0.1:8000//api/surveys/reports/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|[]
Time : 2021-12-20 11:07:59| Profile_id : 660 | Method : GET | Url : http://127.0.0.1:8000//api/surveys/reports/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|[]
Time : 2021-12-20 11:11:38| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"5","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"},{"id":"4","title":"MULTI GRID RADIO","options":{"row":[{"id":"1","title":"mgr1 option"},{"id":"2","title":"mgr2 option"}],"column":[{"id":"1","title":"MGr1 column option"},{"id":"2","title":"MGr2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGR DESCP","is_mandatory":"","question_type":"8"},{"id":"5","title":"MULTI GRID CHECKBOX","options":{"row":[{"id":"1","title":"MGC1 option"},{"id":"2","title":"MGC2 option"}],"column":[{"id":"1","title":"MGC1 column option"},{"id":"2","title":"MGC2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGC DESCP","is_mandatory":"","question_type":"9"}],"expired_at":"2021-01-07","state":"1"}
Time : 2021-12-20 11:12:03| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"5","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"},{"id":"4","title":"MULTI GRID RADIO","options":{"row":[{"id":"1","title":"mgr1 option"},{"id":"2","title":"mgr2 option"}],"column":[{"id":"1","title":"MGr1 column option"},{"id":"2","title":"MGr2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGR DESCP","is_mandatory":"","question_type":"8"},{"id":"5","title":"MULTI GRID CHECKBOX","options":{"row":[{"id":"1","title":"MGC1 option"},{"id":"2","title":"MGC2 option"}],"column":[{"id":"1","title":"MGC1 column option"},{"id":"2","title":"MGC2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGC DESCP","is_mandatory":"","question_type":"9"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 11:16:58| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"5","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"},{"id":"4","title":"MULTI GRID RADIO","multiOptions":{"row":[{"id":"1","title":"mgr1 option"},{"id":"2","title":"mgr2 option"}],"column":[{"id":"1","title":"MGr1 column option"},{"id":"2","title":"MGr2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGR DESCP","is_mandatory":"","question_type":"8"},{"id":"5","title":"MULTI GRID CHECKBOX","multiOptions":{"row":[{"id":"1","title":"MGC1 option"},{"id":"2","title":"MGC2 option"}],"column":[{"id":"1","title":"MGC1 column option"},{"id":"2","title":"MGC2 column option"}]},"image_meta":[],"video_meta":[],"description":"MGC DESCP","is_mandatory":"","question_type":"9"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 11:42:15| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"5","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 11:42:47| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"2","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"}],"expired_at":"2021-12-26","state":"1"}
Time : 2021-12-20 13:01:04| Profile_id : 660 | Method : POST | Url : http://127.0.0.1:8000/api/surveys/c7100eee-2577-4fbe-a679-cc84d0c08bd2| Platform : Web|{"title":"This is the survey Title","description":"This is survey Dsescp","image_meta":[],"video_meta":[],"form_json":[{"id":"2","title":"RANK","max":"3","options":[{"id":"1","title":"rank1 option","color_code":"000000","option_type":"0","image_meta":[],"video_meta":[]},{"id":"2","title":"rank2 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]},{"id":"3","title":"rank3 option","color_code":"FFF324","option_type":"0","image_meta":[],"video_meta":[]}],"image_meta":[],"video_meta":[],"description":"RANK DESCP","is_mandatory":"","question_type":"7"},{"id":"3","title":"RANGE","min":"1","max":"10","image_meta":[],"video_meta":[],"description":"test","is_mandatory":"","question_type":"6"}],"expired_at":"2021-12-26","state":"1"}
